Test_Case1.txt : ,Input Var Number: 7 Input Operation Number: 8 Elapsed Time: 0.005712973194208006 Sec  2015-09-13 22:54:00.539153 CPU: Intel64 Family 6 Model 55 Stepping 8, GenuineIntel
Test_Case3.txt : ,Input Var Number: 5 Input Operation Number: 401 Elapsed Time: 0.0647999869997875 Sec  2015-09-23 10:54:08.885158 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.00023017399962554919 Sec  2015-09-23 11:26:21.435842 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.0002706499999476364 Sec  2015-09-23 11:29:39.752115 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.0002685170002223458 Sec  2015-09-23 11:30:47.560209 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.00024261399994429667 Sec  2015-09-23 11:33:52.875276 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.00018245599858346395 Sec  2015-09-23 12:54:45.057027 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0001910049999196417 Sec  2015-09-27 16:49:24.345252 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.00019265499986431678 Sec  2015-09-27 16:55:16.375510 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0002471369998602313 Sec  2015-09-27 16:56:42.739645 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0001335009999365866 Sec  2015-09-27 16:57:58.918379 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0001328280000052473 Sec  2015-09-27 16:59:31.570966 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.34318488400003844 Sec  2015-09-27 17:00:48.024822 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.3491858729998967 Sec  2015-09-27 17:03:15.896470 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.36605835699992895 Sec  2015-09-27 17:04:13.297183 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.5535711770000944 Sec  2015-09-27 17:05:22.723448 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.5222672209999928 Sec  2015-09-27 17:06:45.882209 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 1.17939945299986 Sec  2015-09-27 17:08:28.123799 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 1.0338896460002616 Sec  2015-09-27 17:10:58.859123 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.37033227900019483 Sec  2015-09-27 17:11:52.943967 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.3667105829999855 Sec  2015-09-27 17:12:46.855256 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.00015128999984881375 Sec  2015-09-27 17:23:23.697081 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0001361689996883797 Sec  2015-09-27 17:33:26.015141 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.00014832400029263226 Sec  2015-09-27 17:39:05.042471 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.00016695199974492425 Sec  2015-09-27 17:39:46.503278 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00020647600013035117 Sec  2015-09-27 17:42:39.463987 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.0002120689996445435 Sec  2015-09-27 17:53:29.175575 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.5402425980000771 Sec  2015-09-27 17:55:14.306066 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.5352596459997585 Sec  2015-09-27 17:55:51.837172 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00025735000053828117 Sec  2015-09-27 18:10:53.264220 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.0002177579999624868 Sec  2015-09-27 18:12:50.206024 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00021207400004641386 Sec  2015-09-27 18:24:32.335966 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00024533699979656376 Sec  2015-09-27 18:31:13.808243 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00023283900009118952 Sec  2015-09-27 18:37:57.824547 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00024702899918338517 Sec  2015-09-27 18:41:33.755991 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 4 Elapsed Time: 0.00030289500045910245 Sec  2015-09-27 18:44:32.989592 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.00042171000001189896 Sec  2015-09-28 12:25:00.569284 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.0003096339999046904 Sec  2015-09-28 12:40:31.397039 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.0003408410000247386 Sec  2015-09-28 12:42:36.901124 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.0003218849999484519 Sec  2015-09-28 12:46:01.243511 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.0003394829998342175 Sec  2015-09-28 12:47:09.028353 CPU: i386
