Test_Case1.txt : ,Input Var Number: 7 Input Operation Number: 8 Elapsed Time: 0.21065785207709678 Sec  2015-09-13 22:54:00.539153 CPU: Intel64 Family 6 Model 55 Stepping 8, GenuineIntel
Test_Case3.txt : ,Input Var Number: 5 Input Operation Number: 401 Elapsed Time: 11.875430719000178 Sec  2015-09-23 10:54:08.885158 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.007134217999919201 Sec  2015-09-23 11:26:21.435842 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.007300327999473666 Sec  2015-09-23 11:29:39.752115 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.00812018899978284 Sec  2015-09-23 11:30:47.560209 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.0074268150001444155 Sec  2015-09-23 11:33:52.875276 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.0037421890010591596 Sec  2015-09-23 12:54:45.057027 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0058968230000573385 Sec  2015-09-27 16:49:24.345252 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.2644115519999559 Sec  2015-09-27 16:55:16.375510 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.004894009000054211 Sec  2015-09-27 16:56:42.739645 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.005689921999874059 Sec  2015-09-27 16:57:58.918379 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.006008648000033645 Sec  2015-09-27 16:59:31.570966 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0049603400000250986 Sec  2015-09-27 17:00:48.024822 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.005316863000189187 Sec  2015-09-27 17:03:15.896470 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.004962285000146949 Sec  2015-09-27 17:04:13.297183 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.004713650999974561 Sec  2015-09-27 17:05:22.723448 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.005012953000004927 Sec  2015-09-27 17:06:45.882209 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.005645252000022083 Sec  2015-09-27 17:08:28.123799 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.005609902999822225 Sec  2015-09-27 17:10:58.859123 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.01511270799983322 Sec  2015-09-27 17:11:52.943967 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.0056541590001870645 Sec  2015-09-27 17:12:46.855256 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.004835810999793466 Sec  2015-09-27 17:23:23.697081 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.004745275000004767 Sec  2015-09-27 17:33:26.015141 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.005267970999739191 Sec  2015-09-27 17:39:05.042471 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 2 Elapsed Time: 0.003953156000079616 Sec  2015-09-27 17:39:46.503278 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.009932413000115048 Sec  2015-09-27 17:42:39.463987 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.009180747000755218 Sec  2015-09-27 17:53:29.175575 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.009230345000105444 Sec  2015-09-27 17:55:14.306066 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00961972799996147 Sec  2015-09-27 17:55:51.837172 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.00998450099996262 Sec  2015-09-27 18:10:53.264220 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.009480669999902602 Sec  2015-09-27 18:12:50.206024 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.009547984000164433 Sec  2015-09-27 18:24:32.335966 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.013990432000355213 Sec  2015-09-27 18:31:13.808243 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.014074790000449866 Sec  2015-09-27 18:37:57.824547 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 3 Elapsed Time: 0.015123466000659391 Sec  2015-09-27 18:41:33.755991 CPU: i386
Manual Function : ,Input Var Number: 4 Input Operation Number: 4 Elapsed Time: 0.46567381499971816 Sec  2015-09-27 18:44:32.989592 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.007254230999990341 Sec  2015-09-28 12:25:00.569284 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.015946763000101782 Sec  2015-09-28 12:40:31.397039 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.007529747000035059 Sec  2015-09-28 12:42:36.901124 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.006156014999987747 Sec  2015-09-28 12:46:01.243511 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.007106431000011071 Sec  2015-09-28 12:47:09.028353 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.007678678000047512 Sec  2015-09-28 12:49:26.012449 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.007332377000011547 Sec  2015-09-28 12:50:26.715790 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.005244555999979639 Sec  2015-09-29 14:21:38.508467 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 3 Elapsed Time: 0.005021927999962372 Sec  2015-09-29 14:23:39.831018 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.2211523650000231 Sec  2015-09-29 18:07:28.563884 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.009430079000026126 Sec  2015-09-29 18:15:11.975496 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.008990306999976383 Sec  2015-09-29 18:22:56.983292 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.008634131999997408 Sec  2015-09-29 18:23:51.499756 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.006758249000085925 Sec  2015-09-29 18:26:00.505844 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.24477939700000206 Sec  2015-09-29 18:29:26.961791 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.01108241400015686 Sec  2015-09-29 18:30:07.406394 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.008745231999910175 Sec  2015-09-29 18:31:09.899245 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.008220937999794842 Sec  2015-09-29 18:37:33.102865 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.008264184999916324 Sec  2015-09-29 18:38:46.464624 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.008654398000089714 Sec  2015-09-29 18:41:24.036632 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.009146696999778214 Sec  2015-09-29 18:42:43.850352 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.009499138000137464 Sec  2015-09-29 18:43:44.803611 CPU: i386
Manual Function : ,Input Var Number: 5 Input Operation Number: 8 Elapsed Time: 0.10498636899865232 Sec  2015-09-30 13:53:00.175626 CPU: i386
Manual Function : ,Input Var Number: 5 Input Operation Number: 8 Elapsed Time: 0.04941269399569137 Sec  2015-09-30 13:54:46.704636 CPU: i386
Manual Function : ,Input Var Number: 5 Input Operation Number: 8 Elapsed Time: 0.15958246400987264 Sec  2015-09-30 14:18:03.804419 CPU: i386
Manual Function : ,Input Var Number: 3 Input Operation Number: 4 Elapsed Time: 0.023792371000126877 Sec  2015-10-16 19:16:17.892854 CPU: i386
Manual Function : ,Input Var Number: 6 Input Operation Number: 15 Elapsed Time: 0.22334259399985967 Sec  2015-10-16 19:21:50.556533 CPU: i386
Manual Function : ,Input Var Number: 6 Input Operation Number: 15 Elapsed Time: 0.6177765149996048 Sec  2015-10-16 19:23:20.564013 CPU: i386
